Denominator(s+s0),Fold Change,Gene ID,Gene Name,Numerator(r),Score(d),direction,gpl,gse,index,log2foldChange,myGeneId,myGeneSym,q-value(%),subset
0.232,0.758,GI_19923828-S,GI_19923828-S,-0.4,-1.726,down,GPL2700,GSE13052,,-0.4,57228.0,SMAGP,12.408,Acute
0.29,0.707,GI_41190797-S,GI_41190797-S,-0.501,-1.726,down,GPL2700,GSE13052,,-0.501,,,12.408,Acute
0.347,0.66,GI_40068508-S,GI_40068508-S,-0.599,-1.726,down,GPL2700,GSE13052,,-0.599,139818.0,DOCK11,12.408,Acute
0.212,0.776,GI_5453891-S,GI_5453891-S,-0.366,-1.725,down,GPL2700,GSE13052,,-0.366,5290.0,PIK3CA,12.408,Acute
0.218,0.771,GI_24797090-A,GI_24797090-A,-0.376,-1.725,down,GPL2700,GSE13052,,-0.376,,,12.408,Acute
0.137,0.849,GI_28302128-S,GI_28302128-S,-0.237,-1.725,down,GPL2700,GSE13052,,-0.237,3043.0,HBB,12.408,Acute
0.156,0.83,GI_37549775-S,GI_37549775-S,-0.269,-1.725,down,GPL2700,GSE13052,,-0.269,128360.0,OR10T2,12.408,Acute
0.237,0.753,GI_27436919-I,GI_27436919-I,-0.409,-1.725,down,GPL2700,GSE13052,,-0.409,9043.0,SPAG9,12.408,Acute
0.15,0.836,GI_4507912-S,GI_4507912-S,-0.259,-1.724,down,GPL2700,GSE13052,,-0.259,8936.0,WASF1,12.408,Acute
0.157,0.829,GI_30315648-I,GI_30315648-I,-0.271,-1.724,down,GPL2700,GSE13052,,-0.271,55796.0,MBNL3,12.408,Acute
0.23,0.759,GI_8923349-S,GI_8923349-S,-0.397,-1.724,down,GPL2700,GSE13052,,-0.397,55640.0,FLVCR2,12.408,Acute
0.153,0.833,GI_34878748-I,GI_34878748-I,-0.264,-1.724,down,GPL2700,GSE13052,,-0.264,93611.0,FBXO44,12.408,Acute
0.291,0.706,GI_33469927-S,GI_33469927-S,-0.502,-1.723,down,GPL2700,GSE13052,,-0.502,55610.0,CCDC132,12.408,Acute
0.308,0.692,GI_7705820-S,GI_7705820-S,-0.531,-1.723,down,GPL2700,GSE13052,,-0.531,51125.0,GOLGA7,12.408,Acute
0.164,0.822,GI_37541590-S,GI_37541590-S,-0.283,-1.723,down,GPL2700,GSE13052,,-0.283,,,12.408,Acute
0.203,0.785,GI_17511208-S,GI_17511208-S,-0.35,-1.721,down,GPL2700,GSE13052,,-0.35,64759.0,TNS3,12.408,Acute
0.332,0.673,GI_42660477-S,GI_42660477-S,-0.571,-1.721,down,GPL2700,GSE13052,,-0.571,91860.0,CALML4,12.408,Acute
0.319,0.683,GI_33386698-S,GI_33386698-S,-0.549,-1.721,down,GPL2700,GSE13052,,-0.549,,,12.408,Acute
0.17,0.816,GI_37540253-S,GI_37540253-S,-0.293,-1.72,down,GPL2700,GSE13052,,-0.293,158358.0,KIAA2026,12.408,Acute
0.237,0.754,GI_38348239-S,GI_38348239-S,-0.407,-1.72,down,GPL2700,GSE13052,,-0.407,163351.0,GBP6,12.408,Acute
0.199,0.789,GI_41149503-S,GI_41149503-S,-0.342,-1.72,down,GPL2700,GSE13052,,-0.342,390275.0,OR8A1,12.408,Acute
0.184,0.803,GI_7662547-S,GI_7662547-S,-0.316,-1.719,down,GPL2700,GSE13052,,-0.316,,,12.408,Acute
0.161,0.825,GI_34147660-S,GI_34147660-S,-0.277,-1.719,down,GPL2700,GSE13052,,-0.277,6429.0,SRSF4,12.408,Acute
0.318,0.685,GI_23510430-A,GI_23510430-A,-0.546,-1.719,down,GPL2700,GSE13052,,-0.546,,,12.408,Acute
0.346,0.663,GI_31341107-S,GI_31341107-S,-0.594,-1.718,down,GPL2700,GSE13052,,-0.594,167153.0,PAPD4,12.408,Acute
0.236,0.755,GI_42657308-S,GI_42657308-S,-0.405,-1.718,down,GPL2700,GSE13052,,-0.405,79993.0,ELOVL7,12.408,Acute
0.286,0.711,GI_13435134-S,GI_13435134-S,-0.492,-1.718,down,GPL2700,GSE13052,,-0.492,64591.0,TSPY2,12.408,Acute
0.158,0.829,GI_41327711-I,GI_41327711-I,-0.271,-1.717,down,GPL2700,GSE13052,,-0.271,1398.0,CRK,12.408,Acute
0.275,0.721,GI_4557730-S,GI_4557730-S,-0.471,-1.717,down,GPL2700,GSE13052,,-0.471,4052.0,LTBP1,12.408,Acute
0.253,0.74,GI_34335244-I,GI_34335244-I,-0.435,-1.717,down,GPL2700,GSE13052,,-0.435,23057.0,NMNAT2,12.408,Acute
0.163,0.824,GI_32307127-S,GI_32307127-S,-0.279,-1.716,down,GPL2700,GSE13052,,-0.279,23054.0,NCOA6,12.408,Acute
0.181,0.806,GI_30581168-I,GI_30581168-I,-0.311,-1.716,down,GPL2700,GSE13052,,-0.311,1232.0,CCR3,12.408,Acute
0.309,0.693,GI_16757969-I,GI_16757969-I,-0.529,-1.714,down,GPL2700,GSE13052,,-0.529,116496.0,FAM129A,12.408,Acute
0.215,0.775,GI_20149649-S,GI_20149649-S,-0.368,-1.714,down,GPL2700,GSE13052,,-0.368,50515.0,CHST11,12.408,Acute
0.202,0.787,GI_7706317-S,GI_7706317-S,-0.346,-1.714,down,GPL2700,GSE13052,,-0.346,51635.0,DHRS7,12.408,Acute
0.198,0.79,GI_14149687-S,GI_14149687-S,-0.34,-1.714,down,GPL2700,GSE13052,,-0.34,25912.0,C1orf43,12.408,Acute
0.207,0.782,GI_6031163-S,GI_6031163-S,-0.354,-1.714,down,GPL2700,GSE13052,,-0.354,1950.0,EGF,12.408,Acute
0.202,0.786,GI_31341865-S,GI_31341865-S,-0.347,-1.713,down,GPL2700,GSE13052,,-0.347,255783.0,PRR24,12.408,Acute
0.225,0.766,GI_18105047-S,GI_18105047-S,-0.386,-1.713,down,GPL2700,GSE13052,,-0.386,85236.0,HIST1H2BK,12.408,Acute
0.216,0.774,GI_40807492-S,GI_40807492-S,-0.37,-1.712,down,GPL2700,GSE13052,,-0.37,55030.0,FBXO34,12.408,Acute
0.371,0.644,GI_42741647-S,GI_42741647-S,-0.635,-1.71,down,GPL2700,GSE13052,,-0.635,9403.0,SEP15,12.408,Acute
0.499,0.554,GI_33636720-S,GI_33636720-S,-0.853,-1.709,down,GPL2700,GSE13052,,-0.853,5573.0,PRKAR1A,12.408,Acute
0.155,0.832,GI_19923799-S,GI_19923799-S,-0.265,-1.708,down,GPL2700,GSE13052,,-0.265,51259.0,TMEM216,12.408,Acute
